"filename", "language", "Go", "HTML", "PostCSS", "XML", "Shell Script", "Go Checksum File", "Go Module File", "Markdown", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\routes\ws.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 70
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\build.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\echo.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\nohup_start.sh", "Shell Script", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\pull.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\push.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\start.sh", "Shell Script", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\sh\stop.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\static\assets\index-08f9f5ff.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 6, 1, 72
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\static\assets\index-e3b202fe.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\static\index.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\static\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\structs\cookie.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\structs\message.go", "Go", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 98
"c:\Users\Lietotājs\Documents\GitHub\conspiracy\backend-social-media\structs\user.go", "Go", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 237
"Total", "-", 1533, 14, 1, 112, 14, 157, 49, 7, 65, 89, 302, 307, 2650
